"Campaign","Ad group","Keyword","Match type","Status","Final URL","Language","Zone"
"SRCH-PL-A-CORE","WIFI-REPAIR","naprawa wifi","Phrase","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","naprawa wifi","Exact","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","naprawa wifi warszawa","Phrase","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","naprawa wifi warszawa","Exact","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","konfiguracja routera","Phrase","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","konfiguracja routera","Exact","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","konfiguracja routera warszawa","Phrase","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","konfiguracja routera warszawa","Exact","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","montaż mesh","Phrase","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","montaż mesh","Exact","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","montaż mesh warszawa","Phrase","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","montaż mesh warszawa","Exact","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","słaby zasięg wifi","Phrase","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","słaby zasięg wifi","Exact","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","wifi nie działa","Phrase","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","WIFI-REPAIR","wifi nie działa","Exact","Paused","https://naserwis.pl/naprawa-wifi/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","montaż sieci lan","Phrase","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","montaż sieci lan","Exact","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","montaż sieci lan warszawa","Phrase","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","montaż sieci lan warszawa","Exact","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","okablowanie strukturalne","Phrase","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","okablowanie strukturalne","Exact","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","okablowanie strukturalne warszawa","Phrase","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","okablowanie strukturalne warszawa","Exact","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","montaż gniazda rj45","Phrase","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","montaż gniazda rj45","Exact","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","zarabianie kabli rj45","Phrase","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","zarabianie kabli rj45","Exact","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","instalacja sieci komputerowej","Phrase","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","instalacja sieci komputerowej","Exact","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","montaż szafy rack","Phrase","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-INSTALL","montaż szafy rack","Exact","Paused","https://naserwis.pl/montaz-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-CCTV-REPAIR","naprawa sieci lan","Phrase","Paused","https://naserwis.pl/naprawa-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-CCTV-REPAIR","naprawa sieci lan","Exact","Paused","https://naserwis.pl/naprawa-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-CCTV-REPAIR","naprawa sieci lan warszawa","Phrase","Paused","https://naserwis.pl/naprawa-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-CCTV-REPAIR","naprawa sieci lan warszawa","Exact","Paused","https://naserwis.pl/naprawa-sieci/","PL","core"
"SRCH-PL-A-CORE","LAN-CCTV-REPAIR","serwis sieci komputerowych","Phrase","Paused","https://naserwis.pl/naprawa-sieci/","PL","core"
